"Id","Year","Fiscal Year","DEPARTMENT","DIVISION","SECTION","FUND TYPE","FUND GROUP","FUND NAME","EXP/REV","OJBECT CLASS","ACCOUNT CATEGORY","ACCOUNT NAME","BUDGET AMOUNT"
"17","2016","FY2015/16","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Medicare Insurance","2641"
"18","2015","FY2014/15","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Medicare Insurance","2599"
"19","2015","FY2014/15","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Carryover","163891"
"20","2016","FY2015/16","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Deferred Compensation No 1","6411"
"21","2015","FY2014/15","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Deferred Compensation No 1","6204"
"22","2016","FY2015/16","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","28284"
"23","2015","FY2014/15","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","25847"
"24","2016","FY2015/16","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Worker's Compensation","1821"
"25","2016","FY2015/16","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Other Travel Expenses","6000"
"26","2015","FY2014/15","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Other Travel Expenses","6000"
"27","2016","FY2015/16","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Prof and Tech Svcs","Other Technical Services","18628"
"28","2016","FY2015/16","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Department Budget Reduction","5129"
"29","2016","FY2015/16","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Department Budget Reduction","436"
"30","2015","FY2014/15","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Department Budget Reduction","5129"
"31","2016","FY2015/16","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Citywide Budget Increase","47952"
"32","2015","FY2014/15","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Citywide Budget Increase","35047"
"33","2016","FY2015/16","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Office Supplies","40000"
"34","2015","FY2014/15","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Office Supplies","40000"
"35","2016","FY2015/16","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Objects","Community Support Programs","55000"
"36","2015","FY2014/15","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Objects","Community Support Programs","55000"
"37","2016","FY2015/16","Mayor/Council","City Council District 1","Council District 1","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","9357"
"38","2016","FY2015/16","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","26157"
"39","2016","FY2015/16","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Annual Adjustments - Review","8500"
"40","2016","FY2015/16","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Employee Services","Salaries","Regular Hours","182338"
"41","2015","FY2014/15","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Employee Services","Salaries","Regular Hours","182338"
"42","2016","FY2015/16","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","FICA - OASDI","11305"
"43","2015","FY2014/15","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","FICA - OASDI","11305"
"44","2015","FY2014/15","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Annual Adjustments - Review","8500"
"45","2015","FY2014/15","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Worker's Compensation","1823"
"46","2016","FY2015/16","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","State Unemployment Insurance","630"
"47","2015","FY2014/15","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","State Unemployment Insurance","630"
"48","2016","FY2015/16","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Medicare Insurance","2644"
"49","2015","FY2014/15","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Medicare Insurance","2644"
"50","2016","FY2015/16","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Deferred Compensation No 1","6214"
"51","2015","FY2014/15","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Deferred Compensation No 1","6214"
"52","2016","FY2015/16","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","28319"
"53","2015","FY2014/15","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","26291"
"54","2016","FY2015/16","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Worker's Compensation","1823"
"55","2016","FY2015/16","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Other Travel Expenses","6000"
"56","2015","FY2014/15","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Other Travel Expenses","6000"
"57","2016","FY2015/16","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Prof and Tech Svcs","Other Technical Services","18628"
"58","2016","FY2015/16","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Department Budget Reduction","5129"
"59","2016","FY2015/16","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Department Budget Reduction","436"
"60","2015","FY2014/15","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Department Budget Reduction","5129"
"61","2016","FY2015/16","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Citywide Budget Increase","31070"
"62","2015","FY2014/15","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Citywide Budget Increase","25555"
"63","2016","FY2015/16","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Office Supplies","40000"
"64","2015","FY2014/15","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Office Supplies","40000"
"65","2016","FY2015/16","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Objects","Community Support Programs","55000"
"66","2015","FY2014/15","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Objects","Community Support Programs","55000"
"67","2015","FY2014/15","Mayor/Council","City Council District 2","Council District 2","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","28571"
"68","2016","FY2015/16","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","39192"
"69","2015","FY2014/15","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Objects","Community Support Programs","54000"
"70","2016","FY2015/16","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Employee Services","Salaries","Regular Hours","193893"
"71","2015","FY2014/15","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Employee Services","Salaries","Regular Hours","218621"
"72","2016","FY2015/16","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","FICA - OASDI","12021"
"73","2016","FY2015/16","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Annual Adjustments - Review","10100"
"74","2016","FY2015/16","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Annual Adjustments - Review","800"
"75","2015","FY2014/15","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Annual Adjustments - Review","10100"
"76","2015","FY2014/15","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Worker's Compensation","2186"
"77","2016","FY2015/16","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","State Unemployment Insurance","630"
"78","2015","FY2014/15","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","State Unemployment Insurance","630"
"79","2016","FY2015/16","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Medicare Insurance","2811"
"80","2015","FY2014/15","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Medicare Insurance","3170"
"81","2015","FY2014/15","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Carryover","27574"
"82","2015","FY2014/15","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","FICA - OASDI","13554"
"83","2016","FY2015/16","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Deferred Compensation No 1","6836"
"84","2015","FY2014/15","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Deferred Compensation No 1","7496"
"85","2016","FY2015/16","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","30114"
"86","2015","FY2014/15","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","22491"
"87","2016","FY2015/16","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Worker's Compensation","1939"
"88","2016","FY2015/16","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Other Travel Expenses","6000"
"89","2015","FY2014/15","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Other Travel Expenses","6000"
"90","2016","FY2015/16","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Prof and Tech Svcs","Other Technical Services","18628"
"91","2016","FY2015/16","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Department Budget Reduction","5129"
"92","2016","FY2015/16","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Department Budget Reduction","436"
"93","2015","FY2014/15","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Department Budget Reduction","5129"
"94","2016","FY2015/16","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Citywide Budget Increase","664"
"95","2015","FY2014/15","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Citywide Budget Increase","7699"
"96","2016","FY2015/16","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Office Supplies","40000"
"97","2015","FY2014/15","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Office Supplies","40000"
"98","2016","FY2015/16","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Objects","Community Support Programs","54000"
"99","2016","FY2015/16","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Objects","Community Support Programs","1000"
"100","2015","FY2014/15","Mayor/Council","City Council District 3","Council District 3","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","7923"
"101","2016","FY2015/16","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","35083"
"102","2015","FY2014/15","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","26444"
"103","2016","FY2015/16","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Employee Services","Salaries","Regular Hours","207210"
"104","2015","FY2014/15","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Employee Services","Salaries","Regular Hours","205958"
"105","2016","FY2015/16","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","FICA - OASDI","12847"
"106","2016","FY2015/16","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Annual Adjustments - Review","13300"
"107","2015","FY2014/15","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Annual Adjustments - Review","13300"
"108","2015","FY2014/15","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Worker's Compensation","2060"
"109","2016","FY2015/16","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","State Unemployment Insurance","630"
"110","2015","FY2014/15","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","State Unemployment Insurance","630"
"111","2016","FY2015/16","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Medicare Insurance","3005"
"112","2015","FY2014/15","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Medicare Insurance","2986"
"113","2015","FY2014/15","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Carryover","10876"
"114","2015","FY2014/15","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","FICA - OASDI","12769"
"115","2016","FY2015/16","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Deferred Compensation No 1","7322"
"116","2015","FY2014/15","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Deferred Compensation No 1","7272"
"117","2016","FY2015/16","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","32182"
"118","2015","FY2014/15","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","29697"
"119","2016","FY2015/16","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Worker's Compensation","2072"
"120","2016","FY2015/16","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Other Travel Expenses","6000"
"121","2015","FY2014/15","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Other Travel Expenses","6000"
"122","2016","FY2015/16","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Prof and Tech Svcs","Other Technical Services","18628"
"123","2016","FY2015/16","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Department Budget Reduction","5129"
"124","2016","FY2015/16","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Department Budget Reduction","436"
"125","2015","FY2014/15","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Department Budget Reduction","5129"
"126","2016","FY2015/16","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Citywide Budget Increase","-14651"
"127","2015","FY2014/15","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Citywide Budget Increase","-7245"
"128","2016","FY2015/16","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Office Supplies","40000"
"129","2015","FY2014/15","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Office Supplies","40000"
"130","2016","FY2015/16","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Objects","Community Support Programs","54000"
"131","2016","FY2015/16","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Objects","Community Support Programs","1000"
"132","2015","FY2014/15","Mayor/Council","City Council District 4","Council District 4","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Objects","Community Support Programs","54000"
"133","2016","FY2015/16","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Worker's Compensation","2067"
"134","2015","FY2014/15","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Objects","Community Support Programs","55000"
"135","2016","FY2015/16","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","19952"
"136","2015","FY2014/15","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Insurance Contribution","28844"
"137","2016","FY2015/16","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Employee Services","Salaries","Regular Hours","206681"
"138","2015","FY2014/15","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Employee Services","Salaries","Regular Hours","205951"
"139","2016","FY2015/16","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","FICA - OASDI","12814"
"140","2016","FY2015/16","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Annual Adjustments - Review","9700"
"141","2015","FY2014/15","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Employee Services","Labor Adjustments","Annual Adjustments - Review","9700"
"142","2015","FY2014/15","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Worker's Compensation","2060"
"143","2016","FY2015/16","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","State Unemployment Insurance","630"
"144","2015","FY2014/15","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","State Unemployment Insurance","630"
"145","2016","FY2015/16","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Medicare Insurance","2997"
"146","2015","FY2014/15","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","Medicare Insurance","2986"
"147","2015","FY2014/15","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Carryover","114650"
"148","2015","FY2014/15","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Employee Services","Employer Paid Taxes","FICA - OASDI","12769"
"149","2016","FY2015/16","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Deferred Compensation No 1","7408"
"150","2015","FY2014/15","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","Deferred Compensation No 1","7272"
"151","2016","FY2015/16","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Employee Services","Employee Benefits","PERS Retirement","32100"
"152","2016","FY2015/16","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Other Travel Expenses","6000"
"153","2015","FY2014/15","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Purchased Services","Other Travel Expenses","6000"
"154","2016","FY2015/16","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Purchased Prof and Tech Svcs","Other Technical Services","18628"
"155","2016","FY2015/16","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Department Budget Reduction","5129"
"156","2016","FY2015/16","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Department Budget Reduction","436"
"157","2015","FY2014/15","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Department Budget Reduction","5129"
"158","2016","FY2015/16","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Citywide Budget Increase","4651"
"159","2015","FY2014/15","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Service & Supply Adjustments","Citywide Budget Increase","-6037"
"160","2016","FY2015/16","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Office Supplies","40000"
"161","2015","FY2014/15","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","General Supplies","Office Supplies","40000"
"162","2016","FY2015/16","Mayor/Council","City Council District 5","Council District 5","General Fund","General Funds","General Fund","Expenses","Other Services and Supplies","Other Objects","Community Support Programs","55000"
